Business Name,Phone,Website,Rating,Reviews,Address,Trade,City
Swain Electric,(480) 832-3299,http://www.swainelectric.com/,4.2,25,"1416 W San Pedro St #101, Gilbert, AZ 85233, USA",electrical,Gilbert
SEC Electrical Contractor LLC,(480) 214-3994,,4.2,5,"1350 W Melody Ave #104, Gilbert, AZ 85233, USA",electrical,Gilbert
"Switch Electric, a Loenbro Company",(602) 368-1455,https://switchelectric.com/contact/,3.4,5,"51 W Vaughn Ave, Gilbert, AZ 85233, USA",electrical,Gilbert
City Electric Supply Gilbert,(480) 900-2120,https://www.cityelectricsupply.com/branches/az/mesa/gilbert,4.1,12,"422 E Baseline Rd, Mesa, AZ 85204, USA",electrical,Gilbert
Coefficient Electric Co.,(520) 337-8027,,3.8,18,"771 N Abalone Ct., Gilbert, AZ 85233, USA",electrical,Gilbert
City Electric Supply Gilbert South,(480) 608-0403,https://www.cityelectricsupply.com/branches/az/gilbert/gilbert-south,3.5,8,"560 E Germann Rd Ste 101, Gilbert, AZ 85297, USA",electrical,Gilbert
DP Electric Inc,(480) 858-9070,http://www.dpelectric.com/,4.2,94,"2210 S Roosevelt St, Tempe, AZ 85282, USA",electrical,Tempe
Wilson Electric Services Corp.,(480) 505-6600,http://www.wilsonelectric.net/,4.1,72,"600 E Gilbert Dr, Tempe, AZ 85288, USA",electrical,Tempe
AME Electrical Contracting Inc,(602) 437-7222,http://www.ameelectrical.com/,3.5,24,"7120 S Priest Dr, Tempe, AZ 85283, USA",electrical,Tempe
Canyon State Electric,(602) 437-3088,https://canyonstateelectric.com/,3.5,36,"1618 S Priest Dr #101, Tempe, AZ 85281, USA",electrical,Tempe
Premier Electrical Staffing,(480) 292-9152,http://www.premierelectricalstaffing.com/,4.2,10,"250 W Baseline Rd Suite 106, Tempe, AZ 85283, USA",electrical,Tempe
Lundell Electrical Services,(480) 654-6400,http://www.lundellelectric.com/,4,8,"1868 E 6th St, Tempe, AZ 85288, USA",electrical,Tempe
Tilmann Electric Inc,(480) 807-5350,http://www.tilmannelectric.com/,3.7,6,"331 S River Dr suite 9, Tempe, AZ 85288, USA",electrical,Tempe
All Perfection Electric LLC,(602) 748-7008,,4.1,14,"15405 W Paradise Ln, Surprise, AZ 85374, USA",electrical,Surprise
Arizona Central Electric,(623) 748-8150,http://azcentralelectric.com/,4.2,5,"14716 N 181st Ave, Surprise, AZ 85388, USA",electrical,Surprise
